rank_valor,score_valor,valor,friccion,razon_social,telefono,email,web,crm_detectado,fichas_publicadas,ventas_rango_cop,municipios,por_que_valor,por_que_friccion,nit,categorias_gremio,direccion,web_viva,wasi_plan,wasi_cliente_desde,ventas_anio,patrimonio_neto_cop,forma_juridica,ciiu_actividad,meta_pixel,google_analytics,whatsapp_en_web,chat_automatizado,version_ingles,angulo_de_entrada,compite_con_diamond,pts_fit_tecnico,pts_capacidad_pago,pts_facturacion,pts_invierte_adq,pts_accesibilidad,pts_dolor,nota_fit,nota_tamano,nota_adquisicion,nota_acceso,telefono_rues,direccion_rues,fuente,fecha_captura
31,38,21,2,Ana Maria Gómez Zapata Con Establecimiento De Comercio Ambiente Inmobiliario S.A.S,+573176464232,piensaentuhogar@ambienteinmobiliario.com,http://www.ambienteinmobiliario.com/,Wasi+SIMI,,,Itagüí,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software",,Corretaje | Arrendamiento y administración de inmuebles,Carrera 51 # 49 - 31 Ofc. 201,sí,Pro/Enterprise,,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
32,38,21,2,Keygroup Propiedades Y Vehiculos S.A.S.,+573216412876,j.hernandez@keygroup.com.co,http://keygrouppropiedades.com/,Wasi,,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software",,Corretaje,Cra 20 # 23 Sur 25,sí,Pro/Enterprise,2021-07-23,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,3,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),ya paga software,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
33,38,21,2,Garcia Propiedades Luxury Inmobiliaria S.A.S.,+573005038525,andresgarciainmobiliario@gmail.com,http://garciapropiedades.inmo.co/,Wasi,,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software",,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles,CR 72 A 94-67,sí,Inicio (dominio regalado),2025-02-03,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,18,5,0,0,8,,"Wasi plan bajo (API lista, no invierte)",administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
34,37,40,14,Arriendo Inmuebles.Com S.A.S,+576043221017,info@arriendoinmuebles.com,http://arriendoinmuebles.com/,ninguno,84,,Medellín,84 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización,stack propio no identificado · solo correo genérico,,Arrendamiento y administración de inmuebles,Cra. 42 # 3 SUR 81 OFC 516,sí,,,,,,,sí,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,8,6,,web propia sin CRM inmobiliario,84 fichas; administra arriendos (ingreso recurrente),Meta Pixel activo,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
35,37,30,8,Arrendamientos Monserrate S.A.S,+576044446387,notificaciones@amonserrate.com,http://www.amonserrate.com/,ninguno,64,,Medellín,64 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje | Arrendamiento y administración de inmuebles,"Calle 44 # 79 - 16, Oficina",sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,11,0,4,8,,web propia sin CRM inmobiliario,64 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
36,36,21,3,Viviendo Grupo Inmobiliario S.A.S,+573116786057,servicioalcliente@viviendogrupoinmobiliario.com,http://viviendogrupoinmobiliario.com/,Wasi,,Menor de 1.000.000.000 COP,Sabaneta,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño",9018152501,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Cll 67 sur 46 31,sí,Pro/Enterprise,2026-02-20,2025,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,1,4,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email genérico; oficina física,3212799494,CARRERA 45 71 SUR 24 OF 208,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
37,35,48,20,Acrecer S.A.S,+576044440048,acrecer@acrecer.com,http://www.acrecer.com/,ninguno,760,,Medellín,760 fichas — mucho volumen · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia,,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Calle 27 sur #25 B 51,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,4,8,,web propia sin CRM inmobiliario,760 fichas publicadas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
38,35,48,20,COLTEBIENES S.A.S,+576044446840,gerencia@coltebienes.com,http://www.coltebienes.com/,ninguno,497,,Medellín,497 fichas — mucho volumen · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia · correo directo de gerencia,,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,calle 7 45 11,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,0,10,,web propia sin CRM inmobiliario,497 fichas publicadas; administra arriendos (ingreso recurrente),,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
39,33,21,4,Bodegas Magno Inversiones S.A.S,+573013107773,administrativo@bodegasmagno.com,http://bodegasmagno.com/,Wasi+SIMI,0,Entre 1.000.000.000 y 2.000.000.000 COP,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · tamaño ideal: el dueño decide",9006168266,Arrendamiento y administración de inmuebles,Calle 24 44 18 OFICINA 201,sí,Pro/Enterprise,,2024,440.190.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,4,4,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email nominal; oficina física,3013107773,CALLE 24 44 18 OF 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
40,33,21,4,Escala Inmobiliaria Medellín S.A.S,+576043017904,escalainmobiliariamedellin@gmail.com,http://www.escalainmobiliaria.com.co/,Wasi,0,Entre 1.000.000.000 y 2.000.000.000 COP,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · tamaño ideal: el dueño decide",9013322103,Corretaje | Arrendamiento y administración de inmuebles,"Calle 35 # 81-09, Tercer piso Laureles",sí,Pro/Enterprise,,2023,157.560.201,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,6043017904,CALLE 35 81 09 INT 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
41,33,21,4,Mb Desarrollos Inmobiliarios S.A.S,+573008095789,contactombinmobiliaria@gmail.com,http://mbinmobiliaria.co/,Wasi,,Entre 1.000.000.000 y 2.000.000.000 COP,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · tamaño ideal: el dueño decide",9016167942,Corretaje,Cra 43 A N 19 - 17. Oficina 223. Block Centro Empresarial,sí,Pro/Enterprise,2022-09-05,2024,3.472.159.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,3,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),ya paga software,,email nominal; oficina física,3008095789,CARRERA 43 A 19 17 OF 223,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
42,33,30,10,Arrendamientos Copabienes Ltda,+576044447877,copabienes@une.net.co,http://www.copabienes.com.co/,ninguno,133,,Copacabana,133 fichas — volumen real de demanda · inventario grande y sin medir pauta,stack propio no identificado,8001777396,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Carrera 50 A N. 47A -113 apto 142,sí,,,,,SOCIEDAD LIMITADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,133 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,6044447877,CARRERA 51 50 A 44 INT 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
43,33,30,10,Colvive Agencia Inmobiliaria S.A.S,+576044441282,colvive\_agenciainmobiliaria@hotmail.es,http://www.colvive.com.co/,ninguno,127,,Sabaneta,127 fichas — volumen real de demanda · inventario grande y sin medir pauta,stack propio no identificado,,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles,Clle 73 SUR 45 A 28 local 2 Torre monarca,sí,,,,,,,no,no,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,127 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
44,31,48,24,Grupo Santamaría S.A.S,+576044484824,info@gsantamaria.com,http://www.gsantamaria.com/,ninguno,1680,,Medellín,1680 fichas — mucho volumen · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia · solo correo genérico,,Corretaje | Arrendamiento y administración de inmuebles,Clle 2 Sur # 32 -54 Transversal Inferior,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,4,6,,web propia sin CRM inmobiliario,1680 fichas publicadas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
45,30,30,12,Alberto Álvarez S.A.S,+576044449898,info@albertoalvarez.com,http://www.albertoalvarez.com/,ninguno,28,,Medellín,28 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media · solo correo genérico",,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Carrera 50 No. 51 - 29 Ofc. 805,sí,,,,,,,no,no,sí,no,sí,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,11,0,0,6,,web propia sin CRM inmobiliario,28 fichas; administra arriendos (ingreso recurrente),,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
46,29,21,6,Inmobiliaria Proteger S.A.S,+576044446364,info@inmobiliariaproteger.com,http://www.inmobiliariaproteger.com/,Wasi,,,Envigado,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · solo correo genérico",,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Centro Comercail Premium Plaza local 4450,sí,Pro/Enterprise,2026-05-27,,,,,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,4,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
47,29,21,6,La Palma Inmobiliaria S.A.S,+576044481900,info@lapalmainmobiliaria.com,http://www.lapalmainmobiliaria.com/,Wasi,,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · solo correo genérico",,Corretaje | Arrendamiento y administración de inmuebles,Dirección Cra. 24DD #41 Sur - 190,sí,Pro/Enterprise,2019-03-18,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
48,28,23,8,Inmobiliaria Alborada Ltda,+576044484036,gerencia@alborada.co,https://alborada.co/,ninguno,1,,Medellín,solo 1 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media · correo directo de gerencia",,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Calle 27 sur no. 28 270 apto 1004,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,8,0,4,10,,web propia sin CRM inmobiliario,1 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
49,28,23,8,Tu Espacio Inmobiliario S.A.S.,+576043200867,tuespacio043@hotmail.com,http://www.tuespacioinmobiliario.co/,ninguno,2,,Medellín,solo 2 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,"Clle 44 # 77 -18 Oficina Primer Piso, Florida Nueva",sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,8,0,0,8,,web propia sin CRM inmobiliario,2 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
50,28,23,8,Compañía De Constructores Asociados S.A (C.A.S.A),+576042665050,general@casa.com.co,http://www.casa.com.co/,ninguno,1,,Medellín,solo 1 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje,Calle 6Sur No. 43A - 180 Ed. Lugo,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,3,0,4,8,,web propia sin CRM inmobiliario,1 fichas,Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
51,28,23,8,Constructora Monserrate De Colombia S.A,+576042501100,contactocc@cmonserrate.com,http://www.constructoramonserrate.com/,ninguno,1,,Medellín,solo 1 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,,Swiss Ap 101 Km. 17 vía Las Palmas-Aeropuerto Envigado,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,no,10,3,0,4,8,,web propia sin CRM inmobiliario,1 fichas,Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
52,28,23,8,Construbienes S.A.S,+576044444644,servicioalcliente@construbienes.com,http://www.construbienes.com/,ninguno,1,,Sabaneta,solo 1 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,CL 75 SUR 45-44,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,8,0,0,6,,web propia sin CRM inmobiliario,1 fichas; administra arriendos (ingreso recurrente),,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
53,28,23,8,Óptima S.A. Vivienda Y Construcción,+576042686600,juanmanuelgomez@optima.com.co,http://www.optima.com.co/,ninguno,1,,Medellín,solo 1 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje,Cra 43 A No 14 27,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,3,0,0,10,,web propia sin CRM inmobiliario,1 fichas,,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
54,28,23,8,Avaluar Valores S.A.S,+573175106358,gerencia@avaluarvalores.com,http://www.avaluarvalores.com/,ninguno,1,,Medellín,solo 1 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media · correo directo de gerencia",,Corretaje | Avalúos,Calle 11Sur No 25 - 150 Apto 608 Torre 1,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,3,0,0,10,,web propia sin CRM inmobiliario,1 fichas,,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
55,28,23,8,Marketing Inmobiliaria S.A.S,+573113351017,administrativa@mkting.com.co,http://www.mkting.com.co/,ninguno,12,,Envigado,solo 12 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje,Calle 36 D SUR # 27A 105 Sala de Ventas ONE LIVING,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,3,0,0,8,,web propia sin CRM inmobiliario,12 fichas,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
56,28,23,8,Abelardoyepes S.A.S,+576044483149,aosorno@abelardoyepes.com,http://www.abelardoyepes.com/,ninguno,2,,Medellín,solo 2 fichas · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Administración de propiedad horizontal,calle 33 A # 81-81,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,no,10,3,0,0,8,,web propia sin CRM inmobiliario,2 fichas,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
57,27,22,8,El Sitio Inmobiliario S.A,+576044449440,gerencia@elsitioinmobiliario.com.co,http://www.elsitioinmobiliario.com.co/,ninguno,149,,Medellín,149 fichas — volumen real de demanda,"WordPress: sin CRM, integración media · correo directo de gerencia",,Corretaje,Calle 3Sur No. 43A - 52 Ofc. 1404,sí,,,,,,,sí,sí,sí,sí,no,Web propia sin CRM: ecosistema completo,sí,10,9,0,15,10,,web propia sin CRM inmobiliario,149 fichas,Meta Pixel activo; Google Analytics/Ads; ya usa chat/bot de terceros,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
58,26,48,30,Arrendamientos Envigado S.A.S,+576044446868,gerencia@arrendamientosenvigadosa.com.co,http://www.arrendamientosenvigadosa.com.co/,ninguno,1543,Entre 10.000.000.000 y 20.000.000.000 COP,Envigado,1543 fichas — mucho volumen · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia · empresa mediana-grande · correo directo de gerencia,8909139929,Corretaje | Arrendamiento y administración de inmuebles,CRA 43 38 SUR 75,sí,,,2025,10.942.836.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,7,0,10,,web propia sin CRM inmobiliario,1543 fichas publicadas; administra arriendos (ingreso recurrente),,email de decisor; oficina física,6044446868,CARRERA 43 38 SUR 75,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
59,26,21,8,Esferica S.A.S,+573012498105,esferica@esferica.co,http://www.esferica.co/,ninguno,0,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,,Cra. 43 B # 16 - 41 OFC 502,sí,,,,,,,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,no,10,0,0,12,8,,web propia sin CRM inmobiliario,,Meta Pixel activo; Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
60,26,21,8,Portada Inmobiliaria S.A.S,+576044487771,gerencia@portadainmobiliaria.com,http://www.portadainmobiliaria.com/,ninguno,0,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media · correo directo de gerencia",,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,CR 26 G 38 A 43 INT 301,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,10,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
61,26,21,8,Viviendas Y Proyectos S.A,+576043850000,gerencia@vyp.com.co,http://www.viviendasyproyectos.com/,ninguno,,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media · correo directo de gerencia",,Corretaje | Arrendamiento y administración de inmuebles,Cra 43 No 33 57 bloque 2 of 201,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,10,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
62,26,21,8,Activos Y Bienes S.A.S,+576044483122,gerencia@activosybienes.com,http://www.activosybienes.com/,ninguno,0,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media · correo directo de gerencia",,Corretaje | Arrendamiento y administración de inmuebles | Otros servicios,Carrera 43 B No 16 - 95 Oficina 206,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,0,10,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
63,26,21,8,Cofutura Propiedad Raíz Ltda,+576045111155,cofutura@une.net.co,https://www.cofuturapropiedadraiz.com/,ninguno,,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje | Arrendamiento y administración de inmuebles,cra 46 No. 50 28 of 506,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,0,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
64,26,21,8,Makler Inmobiliarios S.A.S.,+573187189744,avaluos@maklerinmobiliarios.com,https://maklerinmobiliarios.com/,ninguno,0,,Envigado,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje | Avalúos,"CARRERA 48 # 20 34 OF 907, MEDELLíN",sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,0,0,4,8,,web propia sin CRM inmobiliario,,Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
65,26,21,8,Unifianza S.A,+576046046538,medellin@unifianza.com.co,http://www.unifianza.com.co/,ninguno,0,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Otros servicios,Cr 19A No 90-13 Oficina 701,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,no,10,0,0,4,8,,web propia sin CRM inmobiliario,,Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
66,26,21,8,Administración Am S.A.S.,+573146018322,asistente@administracionam.co,https://administracionam.co/,ninguno,0,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Administración de propiedad horizontal,"Clle 12 # 31 - 143 Casa primer piso, Poblado Lalinde",sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,no,10,0,0,4,8,,web propia sin CRM inmobiliario,,Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
67,26,21,8,Showroom Luxe Inmobiliario S.A.S,+573014936161,gestion@srinmobiliario.com,https://srinmobiliario.com/,ninguno,0,,Envigado,inventario no legible · WhatsApp publicado sin ninguna automatización,"WordPress: sin CRM, integración media",,Corretaje,DIAGONAL32C#34ESUR29,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,0,0,0,8,,web propia sin CRM inmobiliario,,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
68,23,23,12,Jca Soluciones Inmobiliarias S.A.S,+573155422531,subdireccion@jca-si.com,https://jcasolucionesinmobiliarias.com/,SIMI,3,,Medellín,solo 3 fichas · WhatsApp publicado sin ninguna automatización,SIMI/Domus: requiere conector nuevo,,Arrendamiento y administración de inmuebles,calle 29c 35 58,sí,,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,8,0,0,8,,SIMI/Domus (requiere conector nuevo),3 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
