rank,score,razon_social,nit,municipios,categorias_gremio,telefono,email,direccion,web,web_viva,crm_detectado,wasi_plan,wasi_cliente_desde,fichas_publicadas,ventas_rango_cop,ventas_anio,patrimonio_neto_cop,forma_juridica,ciiu_actividad,meta_pixel,google_analytics,whatsapp_en_web,chat_automatizado,version_ingles,angulo_de_entrada,compite_con_diamond,pts_fit_tecnico,pts_capacidad_pago,pts_facturacion,pts_invierte_adq,pts_accesibilidad,pts_dolor,nota_fit,nota_tamano,nota_adquisicion,nota_acceso,telefono_rues,direccion_rues,fuente,fecha_captura
36,37,COLTEBIENES S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044446840,gerencia@coltebienes.com,calle 7 45 11,http://www.coltebienes.com/,sí,ninguno,,,497,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,0,10,,web propia sin CRM inmobiliario,497 fichas publicadas; administra arriendos (ingreso recurrente),,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
37,37,Compañía De Servicios Inmobiliarios Y Empresariales S.A.S (Mattis Inmobiliaria),,Medellín,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044448554,mattisinmobiliaria@mattisinmobiliaria.com.co,Carrera 43A No 17 - 100,http://www.mattisinmobiliaria.com.co/,sí,SIMI,,,157,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,14,0,0,8,,SIMI/Domus (requiere conector nuevo),157 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
38,37,Grupo Santamaría S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044484824,info@gsantamaria.com,Clle 2 Sur # 32 -54 Transversal Inferior,http://www.gsantamaria.com/,sí,ninguno,,,1680,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,4,6,,web propia sin CRM inmobiliario,1680 fichas publicadas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
39,37,G. Actual Propiedad Raíz S.A.S.,9011409589,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043533902,asesorainterna1@gactualpropiedadraiz.com,calle 7 # 80-75,http://www.gactualpropiedadraiz.com/,sí,ninguno,,,98,Menor de 1.000.000.000 COP,2025,116.570.176,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,1,4,8,,web propia sin CRM inmobiliario,98 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,6044903715,CARRERA 25 1 A SUR 155 LOCAL 179,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
40,36,Duque Giraldo Y Cia S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044489077,duque@duquegiraldo.com,calle 10 # 43DD-15,http://www.duquegiraldo.com/,sí,ninguno,,,292,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,4,8,,web propia sin CRM inmobiliario,292 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
41,36,Juan Raíces Y Cia Ltda,,Caldas,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576042785490,raices@une.net.co,Clle 129 Sur # 49 - 56 Ofc 212,http://www.juanraices.com/,sí,ninguno,,,243,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,4,8,,web propia sin CRM inmobiliario,243 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
42,35,Indika Inmobiliaria S.A.S.,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044448999,felipejaramillo@indika.com.co,CALLE 20 B # 82 B 40,https://www.indika.com.co/,sí,SIMI,,,1,,,,,,no,sí,no,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,8,0,4,8,,SIMI/Domus (requiere conector nuevo),1 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
43,35,Bienes Y Lugares S.A.S.,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044444295,andresn@bodegasylocales.com,calle 90# 50D-52 int 201,http://www.bodegasylocales.com/,sí,ninguno,,,355,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,0,8,,web propia sin CRM inmobiliario,355 fichas publicadas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
44,34,Inmobiliaria Proteccion S.A.S,9014831467,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576043224226,admin@inmobiliariaproteccion.com,Calle 9 # 43 A - 31 Ofc. 240,http://www.inmobiliariaproteccion.com/,sí,SIMI,,,1,Menor de 1.000.000.000 COP,2022,20.100.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,no,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,8,1,4,6,,SIMI/Domus (requiere conector nuevo),1 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email genérico; oficina física,6043224226,CALLE 9 43 A 31 OF 240,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
45,33,Arrendamientos Monserrate S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044446387,notificaciones@amonserrate.com,"Calle 44 # 79 - 16, Oficina",http://www.amonserrate.com/,sí,ninguno,,,64,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,11,0,4,8,,web propia sin CRM inmobiliario,64 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
46,33,Bienes Y Bienes S.A,,Medellín,Corretaje,+576043118500,bienesybienes@bienesybienes.com.co,trv 45D 86-56,http://www.bienesybienes.com/,sí,ninguno,,,,,,,,,sí,sí,no,sí,no,Web propia sin CRM: ecosistema completo,sí,10,0,0,15,8,,web propia sin CRM inmobiliario,,Meta Pixel activo; Google Analytics/Ads; ya usa chat/bot de terceros,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
47,33,Todo Con Propiedad S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044445527,contacto@todoconpropiedad.com,Cll 10 A No 36-39,http://www.todoconpropiedad.com/,sí,SIMI,,,0,,,,,,no,sí,no,sí,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,5,0,7,6,,SIMI/Domus (requiere conector nuevo),administra arriendos (ingreso recurrente),Google Analytics/Ads; ya usa chat/bot de terceros,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
48,33,Grupo Arke S.A.S.,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043222321,info@grupoarke.com.co,Cra 25 A # 1-31 Ofc 911 Ed. Parque Empresarial,http://www.grupoarke.com.co/,sí,ninguno,,,,,,,,,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,12,6,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Meta Pixel activo; Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
49,32,Arrendamientos Su Vivienda S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044481514,arrendamientos@suvivienda.com.co,Calle 6 sur # 52-32 Centro de Comercio El Rodeo local 11,http://www.suvivienda.com.co/,sí,ninguno,,,214,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,214 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
50,32,Arrendamientos Copabienes Ltda,8001777396,Copacabana,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044447877,copabienes@une.net.co,Carrera 50 A N. 47A -113 apto 142,http://www.copabienes.com.co/,sí,ninguno,,,133,,,,SOCIEDAD LIMITADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,133 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,6044447877,CARRERA 51 50 A 44 INT 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
51,32,Esencia Inmobiliaria S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576045897888,esenciainmobiliaria@gmail.com,Calle 11 # 43 B - 50 Oficina 404,https://esenciainmobiliaria.com/,sí,ninguno,,,275,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,275 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
52,32,Inmobiliaria Protebienes S.A.S.,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+573136309450,inmobiliariaprotebienes@hotmail.com,Cl 20 59 03,http://www.inmobiliariaprotebienes.com/,sí,ninguno,,,123,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,123 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
53,32,Inmobiliaria Alborada Ltda,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044484036,gerencia@alborada.co,Calle 27 sur no. 28 270 apto 1004,https://alborada.co/,sí,ninguno,,,1,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,8,0,4,10,,web propia sin CRM inmobiliario,1 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
54,32,Colvive Agencia Inmobiliaria S.A.S,,Sabaneta,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles,+576044441282,colvive\_agenciainmobiliaria@hotmail.es,Clle 73 SUR 45 A 28 local 2 Torre monarca,http://www.colvive.com.co/,sí,ninguno,,,127,,,,,,no,no,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,127 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
55,32,Colombia Raiz S.A.S,,Medellín,Corretaje,+573104613457,comercial@colombiaraiz.com,"Calle 3 Sur #41 - 65 Ed Banco de Occidente, Ofc 1103",http://www.colombiaraiz.com/,sí,ninguno,,,325,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,12,0,4,6,,web propia sin CRM inmobiliario,325 fichas publicadas,Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
56,31,Arrendamientos Mabel Ochoa S.A.S,,Envigado,Corretaje | Arrendamiento y administración de inmuebles,+576044481831,gerencia@arrendamientosmabelochoa.com,"Cra. 43 A # 27 A SUR - 86, 142, ENVIGADO",http://www.arrendamientosmabelochoa.com/,sí,ninguno,,,58,,,,,,no,no,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,11,0,0,10,,web propia sin CRM inmobiliario,58 fichas; administra arriendos (ingreso recurrente),,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
57,31,Garcia Propiedades Luxury Inmobiliaria S.A.S.,,Medellín,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles,+573005038525,andresgarciainmobiliario@gmail.com,CR 72 A 94-67,http://garciapropiedades.inmo.co/,sí,Wasi,Inicio (dominio regalado),2025-02-03,,,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,18,5,0,0,8,,"Wasi plan bajo (API lista, no invierte)",administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
58,31,Jca Soluciones Inmobiliarias S.A.S,,Medellín,Arrendamiento y administración de inmuebles,+573155422531,subdireccion@jca-si.com,calle 29c 35 58,https://jcasolucionesinmobiliarias.com/,sí,SIMI,,,3,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,8,0,0,8,,SIMI/Domus (requiere conector nuevo),3 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
59,31,Conexo Inmobiliario S.A.S,,Medellín,Corretaje | Otros servicios,+576043124740,info@conexoinmobiliario.com,VIA LAS PALMAS KM 15 URB. MANANTIALES,http://www.conexoinmobiliario.com/,sí,ninguno,,,6,,,,,,sí,sí,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,3,0,12,6,,web propia sin CRM inmobiliario,6 fichas,Meta Pixel activo; Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
60,30,Grupo Inmobiliario Punto Alto S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+573107790551,gerencia@puntoalto.com.co,"Carrera 22 # 17 - 325 OFICINA 349, ED ACCESS POINT",http://puntoalto.com.co/,sí,SIMI,,,0,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,5,0,0,10,,SIMI/Domus (requiere conector nuevo),administra arriendos (ingreso recurrente),,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
61,30,Empresa De Transporte Masivo Del Valle De Aburrá Ltda,,Bello,Arrendamiento y administración de inmuebles,+576044548888,metro@metrodemedellin.gov.co,Calle 44 No. 46 - 001,http://www.metrodemedellin.gov.co/,sí,ninguno,,,0,,,,,,no,sí,no,sí,sí,Web propia sin CRM: ecosistema completo,sí,10,5,0,7,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads; ya usa chat/bot de terceros,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
62,30,Ags Gestion Empresarial S.A.S.,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+573245817898,avaluos@agsgestionempresarial.com,carrera 43D # 13-21,http://www.agsgestionempresarial.com/,sí,ninguno,,,,,,,,,no,sí,no,sí,no,Web propia sin CRM: ecosistema completo,sí,10,5,0,7,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads; ya usa chat/bot de terceros,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
63,30,Arrendamos Ya S.A.S.,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576042328421,gerente@arrendamosya.com,Cra 55 #40A - 20 Edf Torre nuevo centro Of 311,http://www.arrendamosya.com/,sí,SIMI,,,,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,5,0,0,10,,SIMI/Domus (requiere conector nuevo),administra arriendos (ingreso recurrente),,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
64,30,Conhogar S.A.S.,,Medellín,,+576044480075,germanp@conhogar.com,Calle 18a sur #25c25,http://www.conhogar.com/,sí,ninguno,,,0,,,,,,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,no,10,0,0,12,8,,web propia sin CRM inmobiliario,,Meta Pixel activo; Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
65,30,Esferica S.A.S,,Medellín,,+573012498105,esferica@esferica.co,Cra. 43 B # 16 - 41 OFC 502,http://www.esferica.co/,sí,ninguno,,,0,,,,,,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,no,10,0,0,12,8,,web propia sin CRM inmobiliario,,Meta Pixel activo; Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
66,29,Globo Inmobiliario S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044443860,servicioalcliente@globoinmobiliario.com,calle 27 # 83 -61 aptp 301,http://www.globoinmobiliario.com/,sí,SIMI,,,1,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,8,0,0,6,,SIMI/Domus (requiere conector nuevo),1 fichas; administra arriendos (ingreso recurrente),,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
67,29,Intermobiliaria Poblado S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576043222412,gerencia.general@intermobiliaria.co,CARRERA 43 A Nº 10 - 47 OF 114,http://www.intermobiliariapoblado.com/,sí,ninguno,,,,,,,,,no,sí,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,5,0,4,10,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
68,29,Portada Inmobiliaria S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044487771,gerencia@portadainmobiliaria.com,CR 26 G 38 A 43 INT 301,http://www.portadainmobiliaria.com/,sí,ninguno,,,0,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,10,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
69,29,Viviendas Y Proyectos S.A,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043850000,gerencia@vyp.com.co,Cra 43 No 33 57 bloque 2 of 201,http://www.viviendasyproyectos.com/,sí,ninguno,,,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,10,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
70,28,Arrendamientos Del Norte Cia Ltda,,Bello,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+573006124003,info@arrendamientosdelnorte.com,CARRERA 50 N° 54 -12,http://www.arrendamientosdelnorte.com/,sí,ninguno,,,13,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,8,0,4,6,,web propia sin CRM inmobiliario,13 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
71,28,Bemsa S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576042665433,bemsa@bemsa.com.co,Carrera 43ENo 7D - 70,https://www.bemsa.com.co/,sí,SIMI,,,,,,,,,no,no,no,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,5,0,0,8,,SIMI/Domus (requiere conector nuevo),administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
72,28,Jairo Ochoa S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044486003,asistente.jairoochoa@gmail.com,"Calle 5 A N° 43 B – 25, Oficina 503",http://www.jairochoa.com/,sí,Domus,,,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,15,5,0,0,8,,SIMI/Domus (requiere conector nuevo),administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
73,27,Adbienes Ltda,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044488790,adbienesinmobiliaria@hotmail.com,Av. 74B # 39 B-68 Local 101,http://www.adbienes.com/,sí,ninguno,,,0,,,,,,no,sí,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,5,0,4,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
74,27,Alberto Álvarez S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044449898,info@albertoalvarez.com,Carrera 50 No. 51 - 29 Ofc. 805,http://www.albertoalvarez.com/,sí,ninguno,,,28,,,,,,no,no,sí,no,sí,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,11,0,0,6,,web propia sin CRM inmobiliario,28 fichas; administra arriendos (ingreso recurrente),,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
75,27,Arrendamientos La Aldea Ltda,,Itagüí,Arrendamiento y administración de inmuebles,+576043228379,arrendaldea@une.net.co,Clle 53 # 51-18 Edf. La Aldea 1 y 2 piso,https://www.arrendamientoslaaldea.com.co/,sí,ninguno,,,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
76,27,Inmobiliaria Área Nueva S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044440884,rosana@areanueva.co,Carrera 43B No 14 - 19,http://www.areanueva.co/,sí,ninguno,,,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
77,27,Inmobiliarios Asociados S.A.S,,Medellín,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos | Otros servicios,+576043220694,inmobiliariosasociados@hotmail.es,Cra 50 # 52 -126 Piso 3 Of 301 Pasaje Palacé Junin,http://inmobiliariosasociados.co/,sí,ninguno,,,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
78,27,Conaltura Inmobiliaria S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043229898,inmobiliaria@conaltura.com,Cll 67 A No 46 A 56,http://www.conalturainmobiliaria.com/,sí,ninguno,,,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,5,0,4,8,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
79,27,Quantum Administraciones S.A.S,,Envigado,Administración de propiedad horizontal,+573014317679,juansebastianrodriguez14@gmail.com,Calle 17 c sur #44.137,https://quantumadministraciones.com/,sí,ninguno,,,4,,,,,,no,sí,no,no,no,Web propia sin CRM: ecosistema completo,no,10,3,0,4,10,,web propia sin CRM inmobiliario,4 fichas,Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
80,26,Citrus Inmobiliaria S.A.S.,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043111333,contacto@citrus.com.co,calle 78 sur #40-255 apto 1508,https://www.citrus.com.co/,sí,SIMI,,,,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,5,0,0,6,,SIMI/Domus (requiere conector nuevo),administra arriendos (ingreso recurrente),,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
81,26,Ibg Inmobiliaria International Brokers S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576043224550,contactenos@inmobiliariaibg.co,Clle 29 #41 - 105 Ofc 1206,https://ibginmobiliaria.com/,sí,ninguno,,,6,,,,,,no,no,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,8,0,0,8,,web propia sin CRM inmobiliario,6 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
